post_id,post_url,user_name,created_at,comment_text,num_likes,source,clean_comment,language
1868428607451799983,https://x.com/GloboNews/status/1868428607451799983,Glo███ews███,"""2024-12-15T22:51:08.000Z""","Com o fim da ditadura Assad, muitos sírios consideram voltar para casa. 12 milhões fugiram desde o início da guerra civil, há 13 anos. Países europeus estão revendo políticas de refúgio a sírios.

➡ Assista à #GloboNews:",33,twitter,com o fim da ditadura assad muitos srios consideram voltar para casa milhes fugiram desde o incio da guerra civil h anos pases europeus esto revendo polticas de refgio a srios assista globonews,pt
1868159094567121215,https://x.com/billboard/status/1868159094567121215,bil███ard███,"""2024-12-15T05:00:11.000Z""",Brian Austin Green Tells MGK to ‘Grow Up’ After Musician’s Split From Megan Fox: ‘She’s Pregnant’,43,twitter,brian austin green tells mgk to grow up after musicians split from megan fox shes pregnant,en
1868451534708883739,https://x.com/TNTSportsBR/status/1868451534708883739,TNT███rts███,"""2024-12-16T00:22:14.000Z""","VENCE O PSG NO CLÁSSICO! 💪🇫🇷 Nossa @claalbuquerque traz os detalhes de mais um triunfo do time da capital, dessa vez contra o Lyon, pela #Ligue1 e destaca a atuação de uma jovem promessa da equipe comandada por Luis Enrique!",33,twitter,vence o psg no clssico nossa claalbuquerque traz os detalhes de mais um triunfo do time da capital dessa vez contra o lyon pela ligue e destaca a atuao de uma jovem promessa da equipe comandada por luis enrique,pt
1868441382022717466,https://x.com/TNTSportsBR/status/1868441382022717466,TNT███rts███,"""2024-12-15T23:41:54.000Z""","ÍDOLO E AGORA PRESIDENTE! 🇦🇷🇦🇷 O ex-atacante Diego Milito foi confirmado como novo presidente do Racing!

🗞️ @TNTSportsAR",230,twitter,dolo e agora presidente o exatacante diego milito foi confirmado como novo presidente do racing tntsportsar,pt
1868418260892565925,https://x.com/GloboNews/status/1868418260892565925,Glo███ews███,"""2024-12-15T22:10:01.000Z""",".@DanielaLima_ : cirurgia de Lula travou negociações para reforma ministerial, que ficou para início de 2025.

➡ Assista à #GloboNews:",84,twitter,cirurgia de lula travou negociaes para reforma ministerial que ficou para incio de assista globonews,es
1868380932962418758,https://x.com/GloboNews/status/1868380932962418758,Glo███ews███,"""2024-12-15T19:41:41.000Z""","Começou hoje a segunda fase da Fuvest, vestibular que define os estudantes aprovados para estudar na USP.

➡ Assista à #GloboNews:",27,twitter,comeou hoje a segunda fase da fuvest vestibular que define os estudantes aprovados para estudar na usp assista globonews,pt
1868386052634784163,https://x.com/billboard/status/1868386052634784163,bil███ard███,"""2024-12-15T20:02:02.000Z""",Taylor Swift’s ‘The Tortured Poets Department’ Logs 17th Week at No. 1 on Billboard 200,524,twitter,taylor swifts the tortured poets department logs th week at no on billboard,en
1868362011253301608,https://x.com/GloboNews/status/1868362011253301608,Glo███ews███,"""2024-12-15T18:26:30.000Z""","As atrizes Fernanda Torres e Fernanda Montenegro são destaque em uma matéria do New York Times. O jornal fala sobre a chance de Oscar de ""Ainda estou aqui"", primeiro filme original do Globoplay.

➡ Assista à #GloboNews:",208,twitter,as atrizes fernanda torres e fernanda montenegro so destaque em uma matria do new york times o jornal fala sobre a chance de oscar de ainda estou aqui primeiro filme original do globoplay assista globonews,pt
1868453532929552384,https://x.com/billboard/status/1868453532929552384,bil███ard███,"""2024-12-16T00:30:11.000Z""",Blink-182’s Tom DeLonge Shares His Theory on New Jersey Drone Sightings,19,twitter,blinks tom delonge shares his theory on new jersey drone sightings,en
1868430929389105388,https://x.com/billboard/status/1868430929389105388,bil███ard███,"""2024-12-15T23:00:21.000Z""",Taylor Swift’s Birthday Gift to Fans: A Quiet Release of These Behind-the-Scenes Videos,51,twitter,taylor swifts birthday gift to fans a quiet release of these behindthescenes videos,en
1868083722471235914,https://x.com/billboard/status/1868083722471235914,bil███ard███,"""2024-12-15T00:00:41.000Z""","SEVENTEEN Talk BBMAs Performance, DJ Khaled Collab &amp; More | Billboard Music Awards 2024",1945,twitter,seventeen talk bbmas performance dj khaled collab amp more billboard music awards,en
1868121373425516847,https://x.com/billboard/status/1868121373425516847,bil███ard███,"""2024-12-15T02:30:18.000Z""","SEVENTEEN on How They Feel About Being on the Billboard Charts, How Much CARATs Mean to Them | Billboard Music Awards 2024",2162,twitter,seventeen on how they feel about being on the billboard charts how much carats mean to them billboard music awards,en
1868407672376058098,https://x.com/GloboNews/status/1868407672376058098,Glo███ews███,"""2024-12-15T21:27:57.000Z""","""Esse caminho que chegou no Braga Netto agora foi a questão da grana"", diz Eliane Cantanhêde.

➡ Assista à #GloboNews:",247,twitter,esse caminho que chegou no braga netto agora foi a questo da grana diz eliane cantanhde assista globonews,pt
1868383589420707992,https://x.com/GloboNews/status/1868383589420707992,Glo███ews███,"""2024-12-15T19:52:15.000Z""","O Ministério da Defesa anunciou que mulheres que completarem 18 anos em 2025 poderão fazer o alistamento militar voluntário. Ao todo, serão 1,5 mil vagas entre Exército, Marinha e Aeronáutica.

➡ Assista à #GloboNews:",111,twitter,o ministrio da defesa anunciou que mulheres que completarem anos em podero fazer o alistamento militar voluntrio ao todo sero mil vagas entre exrcito marinha e aeronutica assista globonews,pt
1868352193499197494,https://x.com/GloboNews/status/1868352193499197494,Glo███ews███,"""2024-12-15T17:47:29.000Z""","Lula teve alta neste domingo (15). O presidente estava internado desde segunda (9) em São Paulo, onde passou por uma cirurgia para drenar um hematoma na cabeça — ainda em decorrência da queda que sofreu em casa, em outubro.

➡ Assista à #GloboNews:",263,twitter,lula teve alta neste domingo o presidente estava internado desde segunda em so paulo onde passou por uma cirurgia para drenar um hematoma na cabea ainda em decorrncia da queda que sofreu em casa em outubro assista globonews,pt
1868113795878461891,https://x.com/billboard/status/1868113795878461891,bil███ard███,"""2024-12-15T02:00:11.000Z""",Stray Kids Accepts the Top Global K-Pop Artist | Billboard Music Awards 2024,4997,twitter,stray kids accepts the top global kpop artist billboard music awards,en
1868463142856180087,https://x.com/TNTSportsBR/status/1868463142856180087,TNT███rts███,"""2024-12-16T01:08:22.000Z""","TEMOS UMA BRIGA POR TÍTULO NA ESPANHA? 👀🇪🇸 Com a derrota do Barcelona para o Leganés, os blaugranas perderam a gordura que tinham no topo da tabela e agora Real e Atlético encostaram! Nosso @marcelobechler analisou o resultado e o momento do Barça! 🔵🔴 #LaLiga",40,twitter,temos uma briga por ttulo na espanha com a derrota do barcelona para o legans os blaugranas perderam a gordura que tinham no topo da tabela e agora real e atltico encostaram nosso marcelobechler analisou o resultado e o momento do bara laliga,pt
1868421338333077960,https://x.com/TNTSportsBR/status/1868421338333077960,TNT███rts███,"""2024-12-15T22:22:15.000Z""","FOI UMA HONRA, IMPERADOR! 👏👏👏
Hoje o Adriano Imperador se despediu dos gramados em um jogo comemorativo no Maracanã! Que carreira fod@, com passagem por quatro clubes no Brasil e grande destaque na Internazionale e na #SeleçãoBrasileira!",2737,twitter,foi uma honra imperador hoje o adriano imperador se despediu dos gramados em um jogo comemorativo no maracan que carreira com passagem por quatro clubes no brasil e grande destaque na internazionale e na seleobrasileira,pt
1868429967177957452,https://x.com/GloboNews/status/1868429967177957452,Glo███ews███,"""2024-12-15T22:56:32.000Z""","Milhões de sírios deixaram o país devido à guerra e agora não sabem mais se vão poder permanecer na Europa — onde países estão revendo políticas de refúgio — ou se podem retornar em segurança para Síria.

➡ Assista à #GloboNews:",21,twitter,milhes de srios deixaram o pas devido guerra e agora no sabem mais se vo poder permanecer na europa onde pases esto revendo polticas de refgio ou se podem retornar em segurana para sria assista globonews,pt
1868401245876085034,https://x.com/GloboNews/status/1868401245876085034,Glo███ews███,"""2024-12-15T21:02:24.000Z""","O #EspecialDeDomingo está no ar.

➡ Assista à #GloboNews:",32,twitter,o especialdedomingo est no ar assista globonews,eo
1868468740171673945,https://x.com/TNTSportsBR/status/1868468740171673945,TNT███rts███,"""2024-12-16T01:30:36.000Z""","MUITA DIFERENÇA ENTRE OS CAMPEÕES! 😱💰 

Enquanto o Botafogo recebeu um prêmio de cerca de R$ 48 milhões pelo título do Brasileirão Betano, o Vélez foi campeão argentino e levou 500 mil dólares, cerca de R$ 3 milhões na conversão atual. #BrasileirãoBetano",931,twitter,muita diferena entre os campees enquanto o botafogo recebeu um prmio de cerca de r milhes pelo ttulo do brasileiro betano o vlez foi campeo argentino e levou mil dlares cerca de r milhes na converso atual brasileirobetano,pt
1868453542400254164,https://x.com/TNTSportsBR/status/1868453542400254164,TNT███rts███,"""2024-12-16T00:30:13.000Z""","O BOCA JUNIORS ESTARÁ NA LIBERTADORES 2025! 🔵🟡
Depois de ficar fora da #Libertadores2024, o Boca conseguiu a classificação para a edição 2025 depois do título do Vélez, no Campeonato Argentino.",341,twitter,o boca juniors estar na libertadores depois de ficar fora da libertadores o boca conseguiu a classificao para a edio depois do ttulo do vlez no campeonato argentino,pt
1868445939360321723,https://x.com/TNTSportsBR/status/1868445939360321723,TNT███rts███,"""2024-12-16T00:00:00.000Z""","VALE TUDO PELO PRIMEIRO LUGAR DO GRUPO! ⚔️🏆 Real Madrid e Chelsea vão duelar pela liderança da chave! É JOGÃO nesta terça-feira, AO VIVO na @streammaxbr (",33,twitter,vale tudo pelo primeiro lugar do grupo real madrid e chelsea vo duelar pela liderana da chave jogo nesta terafeira ao vivo na streammaxbr,pt
1868418200008012245,https://x.com/GloboNews/status/1868418200008012245,Glo███ews███,"""2024-12-15T22:09:47.000Z""",".@miriamleitao comenta o fato de o presidente Lula não ter seguido o protocolo de transferir a função para seu vice, Geraldo Alckmin, durante internação hospitalar.

➡ Assista à #GloboNews:",107,twitter,comenta o fato de o presidente lula no ter seguido o protocolo de transferir a funo para seu vice geraldo alckmin durante internao hospitalar assista globonews,pt
1868415158818603228,https://x.com/GloboNews/status/1868415158818603228,Glo███ews███,"""2024-12-15T21:57:41.000Z""","""Apesar de ter muito CPF na onda do golpe, também há CPFs que entram para a história resistindo a esse golpe"", diz Eliane Cantanhêde, sobre envolvimento de militares em trama golpista.

➡ Assista à #GloboNews:",117,twitter,apesar de ter muito cpf na onda do golpe tambm h cpfs que entram para a histria resistindo a esse golpe diz eliane cantanhde sobre envolvimento de militares em trama golpista assista globonews,pt
