input_data,target_data
অক্ষম পু*ুষের,অক্ষম পুরুষের
অ-ক-্-ষ-ম- -প-ু-র-ু-ষ-ে-র,অক্ষম পুরুষের
অ/ক/্/ষ/ম/ /প/ু/র/ু/ষ/ে/র,অক্ষম পুরুষের
অ**ষম *ু*ু*ের,অক্ষম পুরুষের
অডিও *েক্স,অডিও সেক্স
অ-ড-ি-ও- -স-ে-ক-্-স,অডিও সেক্স
অ/ড/ি/ও/ /স/ে/ক/্/স,অডিও সেক্স
অ**ও *েক্স,অডিও সেক্স
অনৈসলা*িক কাজ,অনৈসলামিক কাজ
অ-ন-ৈ-স-ল-া-ম-ি-ক- -ক-া-জ,অনৈসলামিক কাজ
অ/ন/ৈ/স/ল/া/ম/ি/ক/ /ক/া/জ,অনৈসলামিক কাজ
*ন**লামি* কা*,অনৈসলামিক কাজ
অন*ডকোষ কাটলেই,অন্ডকোষ কাটলেই
অ-ন-্-ড-ক-ো-ষ- -ক-া-ট-ল-ে-ই,অন্ডকোষ কাটলেই
অ/ন/্/ড/ক/ো/ষ/ /ক/া/ট/ল/ে/ই,অন্ডকোষ কাটলেই
অন্ড*ো* *াটলেই,অন্ডকোষ কাটলেই
অন্ডকোষ হ*ন,অন্ডকোষ হীন
অ-ন-্-ড-ক-ো-ষ- -হ-ী-ন,অন্ডকোষ হীন
অ/ন/্/ড/ক/ো/ষ/ /হ/ী/ন,অন্ডকোষ হীন
অন্ডকোষ *ীন,অন্ডকোষ হীন
অবৈধ জাল*ম,অবৈধ জালিম
অ-ব-ৈ-ধ- -জ-া-ল-ি-ম,অবৈধ জালিম
অ/ব/ৈ/ধ/ /জ/া/ল/ি/ম,অবৈধ জালিম
অবৈধ জা*ি*,অবৈধ জালিম
অবৈধ পো*া,অবৈধ পোলা
অ-ব-ৈ-ধ- -প-ো-ল-া,অবৈধ পোলা
অ/ব/ৈ/ধ/ /প/ো/ল/া,অবৈধ পোলা
অবৈ* *ো*া,অবৈধ পোলা
অবৈ* প্রেম,অবৈধ প্রেম
অ-ব-ৈ-ধ- -প-্-র-ে-ম,অবৈধ প্রেম
অ/ব/ৈ/ধ/ /প/্/র/ে/ম,অবৈধ প্রেম
অবৈধ*প্র**,অবৈধ প্রেম
অবৈধ ফ*ল,অবৈধ ফসল
অ-ব-ৈ-ধ- -ফ-স-ল,অবৈধ ফসল
অ/ব/ৈ/ধ/ /ফ/স/ল,অবৈধ ফসল
অব*ধ*ফ*ল,অবৈধ ফসল
অবৈধ সন*তান,অবৈধ সন্তান
অ-ব-ৈ-ধ- -স-ন-্-ত-া-ন,অবৈধ সন্তান
অ/ব/ৈ/ধ/ /স/ন/্/ত/া/ন,অবৈধ সন্তান
অবৈধ ***তা*,অবৈধ সন্তান
অবৈধ *ন্তানদের,অবৈধ সন্তানদের
অ-ব-ৈ-ধ- -স-ন-্-ত-া-ন-দ-ে-র,অবৈধ সন্তানদের
অ/ব/ৈ/ধ/ /স/ন/্/ত/া/ন/দ/ে/র,অবৈধ সন্তানদের
